"Measure code","SEX","COUNTRY_REGION","YEAR","VALUE"
"REHAB_1","ALL","ALB","1990","34253.25"
"REHAB_1","FEMALE","ALB","1990","29603.55"
"REHAB_1","MALE","ALB","1990","38637.43"
"REHAB_1","ALL","ALB","1991","34517.92"
"REHAB_1","FEMALE","ALB","1991","29830.91"
"REHAB_1","MALE","ALB","1991","38957.69"
"REHAB_1","ALL","ALB","1992","34799.83"
"REHAB_1","FEMALE","ALB","1992","30082.18"
"REHAB_1","MALE","ALB","1992","39292.49"
"REHAB_1","ALL","ALB","1993","35099.88"
"REHAB_1","FEMALE","ALB","1993","30355.88"
"REHAB_1","MALE","ALB","1993","39644.20"
"REHAB_1","ALL","ALB","1994","35426.82"
"REHAB_1","FEMALE","ALB","1994","30655.30"
"REHAB_1","MALE","ALB","1994","40026.02"
"REHAB_1","ALL","ALB","1995","35766.15"
"REHAB_1","FEMALE","ALB","1995","30966.26"
"REHAB_1","MALE","ALB","1995","40422.93"
"REHAB_1","ALL","ALB","1996","36114.27"
"REHAB_1","FEMALE","ALB","1996","31295.46"
"REHAB_1","MALE","ALB","1996","40818.75"
"REHAB_1","ALL","ALB","1997","36838.16"
"REHAB_1","FEMALE","ALB","1997","31881.77"
"REHAB_1","MALE","ALB","1997","41668.15"
"REHAB_1","ALL","ALB","1998","36602.56"
"REHAB_1","FEMALE","ALB","1998","31749.99"
"REHAB_1","MALE","ALB","1998","41324.17"
"REHAB_1","ALL","ALB","1999","37287.74"
"REHAB_1","FEMALE","ALB","1999","32452.91"
"REHAB_1","MALE","ALB","1999","42064.66"
"REHAB_1","ALL","ALB","2000","37984.98"
"REHAB_1","FEMALE","ALB","2000","33176.53"
"REHAB_1","MALE","ALB","2000","42798.23"
"REHAB_1","ALL","ALB","2001","38387.87"
"REHAB_1","FEMALE","ALB","2001","33633.03"
"REHAB_1","MALE","ALB","2001","43161.38"
"REHAB_1","ALL","ALB","2002","38762.17"
"REHAB_1","FEMALE","ALB","2002","34075.89"
"REHAB_1","MALE","ALB","2002","43473.01"
"REHAB_1","ALL","ALB","2003","39100.02"
"REHAB_1","FEMALE","ALB","2003","34494.09"
"REHAB_1","MALE","ALB","2003","43730.35"
"REHAB_1","ALL","ALB","2004","39423.28"
"REHAB_1","FEMALE","ALB","2004","34906.09"
"REHAB_1","MALE","ALB","2004","43961.77"
"REHAB_1","ALL","ALB","2005","39747.51"
"REHAB_1","FEMALE","ALB","2005","35323.41"
"REHAB_1","MALE","ALB","2005","44187.39"
"REHAB_1","ALL","ALB","2006","39971.45"
"REHAB_1","FEMALE","ALB","2006","35630.17"
"REHAB_1","MALE","ALB","2006","44320.79"
"REHAB_1","ALL","ALB","2007","40038.16"
"REHAB_1","FEMALE","ALB","2007","35768.99"
"REHAB_1","MALE","ALB","2007","44306.85"
"REHAB_1","ALL","ALB","2008","40048.82"
"REHAB_1","FEMALE","ALB","2008","35848.95"
"REHAB_1","MALE","ALB","2008","44240.22"
"REHAB_1","ALL","ALB","2009","40117.97"
"REHAB_1","FEMALE","ALB","2009","35988.67"
"REHAB_1","MALE","ALB","2009","44232.15"
"REHAB_1","ALL","ALB","2010","40379.11"
"REHAB_1","FEMALE","ALB","2010","36323.35"
"REHAB_1","MALE","ALB","2010","44414.03"
"REHAB_1","ALL","ALB","2011","40785.94"
"REHAB_1","FEMALE","ALB","2011","36802.02"
"REHAB_1","MALE","ALB","2011","44744.63"
"REHAB_1","ALL","ALB","2012","41211.35"
"REHAB_1","FEMALE","ALB","2012","37286.89"
"REHAB_1","MALE","ALB","2012","45108.78"
"REHAB_1","ALL","ALB","2013","41696.11"
"REHAB_1","FEMALE","ALB","2013","37810.47"
"REHAB_1","MALE","ALB","2013","45557.54"
"REHAB_1","ALL","ALB","2014","42206.30"
"REHAB_1","FEMALE","ALB","2014","38343.08"
"REHAB_1","MALE","ALB","2014","46049.34"
"REHAB_1","ALL","ALB","2015","42682.82"
"REHAB_1","FEMALE","ALB","2015","38833.46"
"REHAB_1","MALE","ALB","2015","46511.41"
"REHAB_1","ALL","ALB","2016","43455.57"
"REHAB_1","FEMALE","ALB","2016","39638.55"
"REHAB_1","MALE","ALB","2016","47251.48"
"REHAB_1","ALL","ALB","2017","44227.03"
"REHAB_1","FEMALE","ALB","2017","40444.57"
"REHAB_1","MALE","ALB","2017","47991.56"
"REHAB_1","ALL","ALB","2018","44652.36"
"REHAB_1","FEMALE","ALB","2018","40896.27"
"REHAB_1","MALE","ALB","2018","48393.62"
"REHAB_1","ALL","ALB","2019","44973.56"
"REHAB_1","FEMALE","ALB","2019","41272.42"
"REHAB_1","MALE","ALB","2019","48662.58"
"REHAB_1","ALL","AND","1990","35132.00"
"REHAB_1","FEMALE","AND","1990","34200.16"
"REHAB_1","MALE","AND","1990","35953.89"
"REHAB_1","ALL","AND","1991","34893.94"
"REHAB_1","FEMALE","AND","1991","34021.93"
"REHAB_1","MALE","AND","1991","35657.94"
"REHAB_1","ALL","AND","1992","35052.63"
"REHAB_1","FEMALE","AND","1992","34193.47"
"REHAB_1","MALE","AND","1992","35809.88"
"REHAB_1","ALL","AND","1993","35479.87"
"REHAB_1","FEMALE","AND","1993","34563.20"
"REHAB_1","MALE","AND","1993","36282.84"
"REHAB_1","ALL","AND","1994","35941.88"
"REHAB_1","FEMALE","AND","1994","35078.56"
"REHAB_1","MALE","AND","1994","36707.67"
"REHAB_1","ALL","AND","1995","36373.66"
"REHAB_1","FEMALE","AND","1995","35531.17"
"REHAB_1","MALE","AND","1995","37129.79"
"REHAB_1","ALL","AND","1996","36737.32"
"REHAB_1","FEMALE","AND","1996","35906.36"
"REHAB_1","MALE","AND","1996","37488.93"
"REHAB_1","ALL","AND","1997","37137.57"
"REHAB_1","FEMALE","AND","1997","36386.43"
"REHAB_1","MALE","AND","1997","37816.64"
"REHAB_1","ALL","AND","1998","37587.93"
"REHAB_1","FEMALE","AND","1998","36842.53"
"REHAB_1","MALE","AND","1998","38265.19"
"REHAB_1","ALL","AND","1999","38039.82"
"REHAB_1","FEMALE","AND","1999","37306.72"
"REHAB_1","MALE","AND","1999","38710.35"
