"Measure code","SEX","COUNTRY_REGION","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"REHAB_1","ALL","ALB","34253.25","34517.92","34799.83","35099.88","35426.82","35766.15","36114.27","36838.16","36602.56","37287.74","37984.98","38387.87","38762.17","39100.02","39423.28","39747.51","39971.45","40038.16","40048.82","40117.97","40379.11","40785.94","41211.35","41696.11","42206.30","42682.82","43455.57","44227.03","44652.36","44973.56"
"REHAB_1","ALL","AND","35132.00","34893.94","35052.63","35479.87","35941.88","36373.66","36737.32","37137.57","37587.93","38039.82","38608.95","39084.07","39446.66","39194.86","38874.58","38762.56","38883.09","39232.69","39630.07","40197.28","40591.29","40391.06","40561.82","40980.65","41334.34","41678.49","42338.33","42994.84","43329.58","43479.16"
"REHAB_1","ALL","ARM","35411.20","35321.40","35245.86","35177.07","35166.39","35235.03","35343.15","35463.43","35590.25","35745.32","35956.19","36067.81","35981.39","35784.33","35609.72","35617.19","35732.80","35830.29","35897.97","35976.30","36105.52","36254.69","36391.46","36510.51","36640.13","36806.23","37145.57","37445.24","37619.54","37794.78"
"REHAB_1","ALL","AUT","39998.59","39906.39","39839.02","39786.31","39801.74","39916.72","40013.37","40109.55","40184.96","40277.03","40408.53","40516.10","40637.32","40729.35","40826.59","40954.73","41091.48","41290.34","41495.39","41712.10","41917.39","42064.83","42206.97","42314.77","42406.56","42482.20","42650.02","42868.68","42906.51","42846.51"
"REHAB_1","ALL","AZE","27021.70","26888.08","27130.35","27012.24","27064.46","26906.63","26960.93","27054.12","27178.69","27330.79","27473.69","27619.63","27704.98","27781.21","27879.28","28024.41","28232.35","28430.75","28632.07","28844.86","29052.67","29281.43","29488.52","29700.88","29949.81","30224.88","30699.97","31154.50","31469.80","31780.38"
"REHAB_1","ALL","BLR","41055.40","41078.46","41150.46","41260.90","41418.97","41639.00","41946.40","42342.67","42756.68","43150.75","43501.99","43814.30","44108.16","44373.41","44630.28","44861.66","45041.48","45194.40","45310.58","45407.70","45499.69","45562.44","45604.41","45630.04","45631.91","45616.51","45171.05","44803.76","44980.18","45256.61"
"REHAB_1","ALL","BEL","40284.94","40352.10","40455.46","40594.52","40772.42","40972.59","41246.05","41655.32","42150.18","42680.73","43195.35","43781.06","44486.69","45178.83","45743.20","46066.79","46204.77","46307.49","46369.86","46399.08","46399.07","46193.88","45738.42","45210.52","44801.30","44693.50","45132.98","45577.39","45234.93","44194.61"
"REHAB_1","ALL","BIH","37974.89","38084.57","39892.31","40786.90","41380.32","43430.69","42891.21","42770.83","42742.30","42937.83","43238.50","43432.21","43460.99","43428.60","43551.49","43845.80","44072.90","44295.58","44609.00","44943.21","45295.34","45627.75","45940.35","46267.54","46631.45","47020.73","47776.37","48533.75","48946.80","49337.34"
"REHAB_1","ALL","BGR","46362.11","46379.07","46428.03","46520.86","46664.84","46856.69","47079.96","47303.64","47532.17","47755.23","47970.52","48165.06","48316.93","48447.68","48572.67","48687.38","48781.57","48852.48","48949.40","49101.37","49322.93","49576.98","49795.09","50000.71","50200.01","50389.58","50543.20","50679.85","50853.45","51052.91"
"REHAB_1","ALL","HRV","44874.52","44749.55","44580.18","44546.62","44445.35","44650.94","44659.54","44719.85","44802.14","44904.15","45054.80","45194.15","45314.25","45420.64","45551.56","45767.30","46018.21","46259.22","46455.66","46619.74","46791.89","46919.51","47010.55","47090.38","47197.51","47376.64","47779.36","48267.98","48653.58","49003.51"
